,distance_bin,mean_distbased_spssim,min_distbased_spssim,min_matrix_pair,max_distbased_spssim,max_matrix_pair,distbased_spssim_list,matrix_pairs
0,"(0, 10)",0.905626611568666,0.905626611568666,spssim_results_lodes2017_lodes2019,0.905626611568666,spssim_results_lodes2017_lodes2019,[0.905626611568666],['spssim_results_lodes2017_lodes2019']
1,"(10, 20)",0.8650847698576077,0.8650847698576077,spssim_results_lodes2017_lodes2019,0.8650847698576077,spssim_results_lodes2017_lodes2019,[0.8650847698576077],['spssim_results_lodes2017_lodes2019']
2,"(20, 30)",0.8213365566574209,0.8213365566574209,spssim_results_lodes2017_lodes2019,0.8213365566574209,spssim_results_lodes2017_lodes2019,[0.8213365566574209],['spssim_results_lodes2017_lodes2019']
3,"(30, 40)",0.7581911913662192,0.7581911913662192,spssim_results_lodes2017_lodes2019,0.7581911913662192,spssim_results_lodes2017_lodes2019,[0.7581911913662192],['spssim_results_lodes2017_lodes2019']
4,"(40, 50)",0.6167913381348327,0.6167913381348327,spssim_results_lodes2017_lodes2019,0.6167913381348327,spssim_results_lodes2017_lodes2019,[0.6167913381348327],['spssim_results_lodes2017_lodes2019']
5,"(50, 60)",0.580845438405045,0.580845438405045,spssim_results_lodes2017_lodes2019,0.580845438405045,spssim_results_lodes2017_lodes2019,[0.580845438405045],['spssim_results_lodes2017_lodes2019']
6,"(60, 70)",0.3832493710398088,0.3832493710398088,spssim_results_lodes2017_lodes2019,0.3832493710398088,spssim_results_lodes2017_lodes2019,[0.3832493710398088],['spssim_results_lodes2017_lodes2019']
7,"(70, 80)",0.2296050047477736,0.2296050047477736,spssim_results_lodes2017_lodes2019,0.2296050047477736,spssim_results_lodes2017_lodes2019,[0.2296050047477736],['spssim_results_lodes2017_lodes2019']
8,"(80, 90)",0.7539348274082455,0.7539348274082455,spssim_results_lodes2017_lodes2019,0.7539348274082455,spssim_results_lodes2017_lodes2019,[0.7539348274082455],['spssim_results_lodes2017_lodes2019']
9,"(90, 100)",0.230812978059552,0.230812978059552,spssim_results_lodes2017_lodes2019,0.230812978059552,spssim_results_lodes2017_lodes2019,[0.230812978059552],['spssim_results_lodes2017_lodes2019']
10,"(100, 110)",0.4634323198107636,0.4634323198107636,spssim_results_lodes2017_lodes2019,0.4634323198107636,spssim_results_lodes2017_lodes2019,[0.4634323198107636],['spssim_results_lodes2017_lodes2019']
11,"(110, 120)",3.919369184799402e-23,3.919369184799402e-23,spssim_results_lodes2017_lodes2019,3.919369184799402e-23,spssim_results_lodes2017_lodes2019,[3.919369184799402e-23],['spssim_results_lodes2017_lodes2019']
